#Function	Entry	Category	Function	Gene abbreviation
001	001	Thermophilic specific	Thermophilic specific	rgy
002	002	Amino acid utilization	4-aminobutyrate aminotransferase and related aminotransferases	4-aminobutyrate aminotransferase and related aminotransferases
003	003	Amino acid utilization	Aminotransferase class I and II	aminotransferase class I and II
004	004	Amino acid utilization	Phosphoserine aminotransferase	phosphoserine aminotransferase
005	005	Amino acid utilization	Ornithine/acetylornithine aminotransferase	ornithine/acetylornithine aminotransferase
006	006	Amino acid utilization	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
007	007	Amino acid utilization	Aspartate/tyrosine/aromatic aminotransferase	aspartate/tyrosine/aromatic aminotransferase
008	008	Amino acid utilization	Histidinol-phosphate/aromatic aminotransferase	histidinol-phosphate/aromatic aminotransferase
009	009	Amino acid utilization	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
010	010	Ethanol fermentation	Acetate => Acetaldehyde	acetate => acetaldehyde
011	011	Ethanol fermentation	Acetaldehyde => Ethanol	acetaldehyde => ethanol
012	012	Fatty acid degradation	acyl-CoA dehydrogenase	acyl-CoA dehydrogenase
013	013	Aromatics degradation	Protocatechuate/Catechol degradation	catA
014	014||015	Aromatics degradation	Phenol => Benzoyl-CoA	ubiX||bsdC
015	016||017||018||019	Aromatics degradation	Benzoyl-CoA reduction	bcrABCD
016	020	Complex carbon degradation	Cellulose degrading	cellobiosidase
017	021	Complex carbon degradation	Cellulose degrading	cellulase
018	022	Complex carbon degradation	Cellulose degrading	beta-glucosidase
019	023	Complex carbon degradation	Hemicullulose debranching	arabinosidase
020	024	Complex carbon degradation	Hemicullulose debranching	beta-glucuronidase
021	025	Complex carbon degradation	Hemicullulose debranching	alpha-L-rhamnosidase
022	026	Complex carbon degradation	Endohemicellulases	mannan endo-1,4-beta-mannosidase
023	027	Complex carbon degradation	Endohemicellulases	alpha-D-xyloside xylohydrolase
024	028	Complex carbon degradation	Other oligosaccharide degrading	beta-xylosidase
025	029	Complex carbon degradation	Other oligosaccharide degrading	beta-mannosidase
026	030	Complex carbon degradation	Other oligosaccharide degrading	beta-galactosidase
027	031	Complex carbon degradation	Amylolytic enzymes	alpha-amylase
028	032	Complex carbon degradation	Amylolytic enzymes	glucoamylase
029	033	Complex carbon degradation	Amylolytic enzymes	pullulanase
030	034	Complex carbon degradation	Amylolytic enzymes	isoamylase
031	035	Complex carbon degradation	Chitin degrading	chitiniase
032	036	Complex carbon degradation	Chitin degrading	hexosaminidase
033	037	Fermentation	Pyruvate oxidation	porA
034	038	Fermentation	Alcohol utilization	adh
035	039	Fermentation	Lactate utilization	ldh
036	040||041||042	Fermentation	Acetogenesis	acdA||ack||pta
037	043	Fermentation	Acetate to acetyl-CoA	acs
038	044	Fermentation	Pyruvate <=> acetyl-CoA + formate 	pflD
039	045||046	C1 metabolism	Methanol oxidation	mxaF or mdh
040	047||048	C1 metabolism	Methyl amine -> formaldehyde	mauAB
041	049||050||051||052||053	C1 metabolism	Formaldehyde oxidation	fdhA||fghA||frmA||mycoS_dep_FDH||fae
042	054||055||056||057||058	C1 metabolism	Formate oxidation	fdoG||fdwB||fdoH||fdhAB
043	059||060||061	C1 metabolism	Aerobic CO oxidation	coxS||coxM||coxL
044	062||063||064	Methane metabolism	Methane oxidation - Partculate methane monooxygenase	pmoABC
045	065||066	Methane metabolism	Methane oxidation - Soluble methane monoxygenase	mmoBD
046	067||068||069	Methane metabolism	Methane production	mcrABC
047	070	Carbon fixation	CBB cycle - Rubisco (Form I)	Form I
048	071	Carbon fixation	CBB cycle - Rubisco (Form II)	Form II
049	072||073	Carbon fixation	3 Hydroxypropionate cycle	mcr||K14469
050	074||075	Carbon fixation	3HP/4HB	K14466||K18861
051	075||076	Carbon fixation	DC/4-HB	K18861||4hbl
052	077||078||079	Carbon fixation	Wood Ljungdahl pathway	cdhD||cdhE||cooS
053	080||081	Carbon fixation	Reverse TCA cycle	aclAB
054	082||083||084	Nitrogen cycling	Ammonia oxidation	amoABC
055	085||086||087||088||089||090||091||092||093	Nitrogen cycling	N2 fixation	anfDKG||nifDK||vnfDKG||nifH
056	094||095	Nitrogen cycling	Nitrite oxidation	nxrAB
057	096||097||098||099	Nitrogen cycling	Nitrate reduction	napAB||narGH
058	100||101||102||103||104	Nitrogen cycling	Nitrite reduction to ammonia	nrfADH||nirBD
059	105||106||107	Nitrogen cycling	Nitrite reduction	nirKS||octR
060	108||109	Nitrogen cycling	Nitric oxide reduction	norBC
061	110||111	Nitrogen cycling	Nitrous oxide reduction	nosDZ
062	112||113	Nitrogen cycling	Anammox	hzoA||hzsA
063	114||115	Sulfur cycling	Sulfide oxidation	fccB||sqr
064	116||117||118||127||128||129	Sulfur cycling	Sulfite reduction	dsrABD||asrABC
065	119||120	Sulfur cycling	Sulfur oxidation	sdo||sor
066	120||121||122||123	Sulfur cycling	Sulfur reduction	sreABC||sor
067	124||125||126	Sulfur cycling	Thiosulfate oxidation	soxBCY
068	130||131	Sulfur cycling	Sulfate reduction	aprA||sat
069	132	Sulfur cycling	Thiosulfate disproportionation	phsA
070	133	Hydrogenases	FeFe hydrogenase	fefe-group-a13
071	134	Hydrogenases	FeFe hydrogenase	fefe-group-a2
072	135	Hydrogenases	FeFe hydrogenase	fefe-group-a4
073	136	Hydrogenases	FeFe hydrogenase	fefe-group-b
074	137	Hydrogenases	FeFe hydrogenase	fefe-group-c1
075	138	Hydrogenases	FeFe hydrogenase	fefe-group-c2
076	139	Hydrogenases	FeFe hydrogenase	fefe-group-c3
077	140	Hydrogenases	Fe hydrogenase	fe
078	141	Hydrogenases	Ni-Fe Hydrogenase	nife-group-1
079	142	Hydrogenases	Ni-Fe Hydrogenase	nife-group-2ade
080	143	Hydrogenases	Ni-Fe Hydrogenase	nife-group-2bc
081	144	Hydrogenases	Ni-Fe Hydrogenase	nife-group-3abd
082	145	Hydrogenases	Ni-Fe Hydrogenase	nife-group-3c
083	146	Hydrogenases	Ni-Fe Hydrogenase	nife-group-4a-g
084	147	Hydrogenases	Ni-Fe Hydrogenase	nife-group-4hi
